Symbol,Name
AKBNK.IS,Akbank T.A.S.
ARCLK.IS,Arçelik Anonim Sirketi 
ASELS.IS,Aselsan Elektronik Sanayi ve Ticaret Anonim Sirketi 
BIMAS.IS,BIM Birlesik Magazalar A.S. 
EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. 
EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş. 
FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş. 
GUBRF.IS,GÜBRE FABRİKALARI T.A.Ş. 
SAHOL.IS.HACI ÖMER SABANCI HOLDİNG A.Ş. 
HEKTS.IS,HEKTAŞ TİCARET T.A.Ş. 
KRDMD.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş. 
KCHOL.IS,KOÇ HOLDİNG A.Ş. 
KOZAL.IS,KOZA ALTIN İŞLETMELERİ A.Ş. 
KOZAA.IS,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş. 
PGSUS.IS,PEGASUS HAVA TAŞIMACILIĞI A.Ş. 

